Index,Category,Claim
1125,Claims about prominent actors,"President Barack Obama “waited six months to call swine flu an emergency after thousands died.”		"
1127,Medical advice and self-treatments,"Doctors in Japan advise people to drink water every 15 minutes to prevent an infection.		"
1128,Medical advice and self-treatments,"Vitamin helps against COVID-19.		"
1129,Conspiracy theories,"Election years in the United States coincide with major disease outbreaks.		"
1130,Medical advice and self-treatments,"Shaving facial hair ensures safety from COVID-19, further attributing the message to the CDC.		"
1131,"Public preparedness, protests, and civil disobedience","Chinese police use a fishing net to arrest a man with a high fever.		"
1132,"Public preparedness, protests, and civil disobedience","Florida man is arrested for robbery using cough as a weapon.		"
1133,Community spread and impact,"A “poll finds 38% of Americans say they will not drink Corona beer because of the virus.”		"
1134,Conspiracy theories,"“Every election year has a disease” — SARS in 2004; avian flu in 2008; swine flu in 2010; MERS in 2012; Ebola in 2014 and 2018; Zika in 2016 and the coronavirus in 2020.		"
1135,"Public authority actions, policy, and communications","Airport in Karachi suspends all international arrivals during coronavirus epidemic.		"
1136,Medical advice and self-treatments,"Holding your breath can test for COVID-19.		"
1137,Medical advice and self-treatments,"Lysol products can kill the novel coronavirus.		"
1138,Claims about prominent actors,"The WHO has issued an alert against buying holy colors from China		"
1139,Conspiracy theories,"”America has been vaccinating cattle for coronavirus for years, yet the news tells you it’s new and going to kill you all, so go buy a mask.”		"
1140,"Vaccines, medical treatments, and tests","“The blood test for coronavirus costs $3,200.”		"
1141,"Public authority actions, policy, and communications","Starting in March, if you travel outside of the United States you won’t be allowed back in the country “due to high risk of the coronavirus.”		"
1142,Conspiracy theories,"“‘Akira’ is a 1988 movie about an apocalyptic event taking place months before Tokyo 2020 Olympics, showing the WHO advising Japan to postpone the Olympics because of a pandemic risk.”		"
1143,Community spread and impact,"A video accompanying a claim shows bodies being removed from a hospital in Iran during the novel coronavirus pandemic.		"
1144,Medical advice and self-treatments,"CDC issued facial hair recommendation for novel coronavirus prevention.		"
1145,Medical advice and self-treatments,"You can maintain the alkaline state of the body to avoid contagion.		"
1146,Virus transmission,"Hair Weaves And Lace Front Wigs Made In China Likely To Contain coronavirus.		"
1147,Virus transmission,"A post says “hair weave and lace fronts manufactured in China may contain the coronavirus.”		"
1148,"Public preparedness, protests, and civil disobedience","“Coronavirus: Florida man arrested for robbery using cough as a weapon.”		"
1149,Medical advice and self-treatments,"The CDC recommends men shave their beards to protect against coronavirus.		"
1150,"Public authority actions, policy, and communications","Singapore government said confirmed case No. 12 is a prostitute. As a result, many of her clients are under quarantine.		"
1151,Virus transmission,"A post say “hair weave and lace fronts manufactured in China may contain the coronavirus.”		"
1152,Community spread and impact,"A man is allegedly selling medical masks for 80 denars on a bus owned by the Skopje Public Transportation Enterprise.		"
1153,Virus transmission,"“Hair weave and lace fronts manufactured in China may contain the coronavirus.”		"
1154,Medical advice and self-treatments,"Multiple allegations on how to protect oneself from the new coronavirus.		"
1155,Virus origin and properties,"Coronavirus infects chickens in Pakistan.		"
1156,Community spread and impact,"Infected taxi driver demands money from his government otherwise he’ll infect others.		"
1157,"Public authority actions, policy, and communications","Indian Government and the WHO advised people not to purchase colors from China for Holi.		"
1158,"Public authority actions, policy, and communications","China needs coronavirus SWAT (special weapons and tactics) police teams to arrest this coronavirus victim.		"
1159,Conspiracy theories,"Coronavirus is a bioweapon leaked from a Wuhan lab.		"
1160,"Public authority actions, policy, and communications","Coronavirus patients are being “cremated alive” in China.		"
1161,Conspiracy theories,"Evidence indicates COVID-19 escaped a Chinese lab that was researching it, causing the outbreak.		"
1162,Community spread and impact,"The mortality rate for the flu is “right around” that of the new coronavirus: “It’s right around 2%.”		"
1163,Medical advice and self-treatments,"These are measures that protect from novel coronavirus.		"
1164,Community spread and impact,"Infected taxi driver demands money from his government or he’ll infect others.		"
1165,Claims about prominent actors,"President Trump claims the virus is under control and testing is available.		"
1166,Community spread and impact,"Chinese people convert to Islam because of COVID-19.		"
1167,Claims about prominent actors,"Radio host Rush Limbaugh compares novel coronavirus to “the common cold.”		"
1168,Community spread and impact,"Coronavirus case in Uttar Pradesh district, India.		"
1169,"Public preparedness, protests, and civil disobedience","Shoppers in China storm supermarket after coronavirus outbreak.		"
1170,"Public authority actions, policy, and communications","A Chinese SWAT Team takes down a coronavirus suspect		"
1171,Community spread and impact,"“The coronavirus is the common cold, folks.”		"
1172,Claims about prominent actors,"Video says President Donald Trump spawned the “Wuhan super virus outbreak under code name ‘zyphr.’”		"
1173,Conspiracy theories,"Nostradamus predicted the coronavirus.		"
1174,"Public preparedness, protests, and civil disobedience","A video shows an anti-China protest amid the COVID-19 outbreak in Italy.		"
1175,Claims about prominent actors,"Bill Gates wrote a letter saying COVID-19 is teaching humans a lesson.		"
1176,Community spread and impact,"There is a case of coronavirus at the School of Architects of Madrid.		"
1177,Conspiracy theories,"Post says “people of color may be immune to the coronavirus because of melanin.”		"
1178,"Public authority actions, policy, and communications","Video shows Chinese officials detaining suspected coronavirus cases.		"
1180,"Public authority actions, policy, and communications","This map shows high sulphur dioxide in Wuhan now due to the burning of corpses.		"
1181,Community spread and impact,"Chinese people flee to Vietnam due to COVID-19.		"
1182,Medical advice and self-treatments,"These charts show the difference betweem COVID-19, flu and common cold.		"
1183,Community spread and impact,"Chinese people are fleeing China to Vietnam because of coronavirus.		"
1184,Community spread and impact,"Six coronavirus cases confirmed in Wichita, Kansas.		"
1185,Community spread and impact,"Four people have died in Zanzibar after handling a chicken infected with COVID-19.		"
1186,Medical advice and self-treatments,"Cannabis boosts immunity against COVID-19		"
1187,"Public authority actions, policy, and communications","Rainbow shimmers behind a COVID-19 disinfectant truck in China.		"
1188,Community spread and impact,"Chinese converting to Islam after realizing that no Muslim was affected by COVD19 in the country.		"
1189,Community spread and impact,"20 million Chinese convert to Islam, and coronavirus does not affect Muslims.		"
1190,Conspiracy theories,"The Simpsons predicted the new coronavirus outbreak.		"
1191,Community spread and impact,"People queue in Singapore for Halal food.		"
1192,"Public authority actions, policy, and communications","In Japan, if the new coronavirus test is negative, the cost is 80,000 yen. If positive, the state will bear the cost.		"
1193,"Public authority actions, policy, and communications","Chinese police kill a woman escaping a COVID-19 quarantine in China.		"
1194,Conspiracy theories,"Coronavirus is a biological warfare weapon.		"
1195,Community spread and impact,"Chinese are converting to Islam after realizing that no Muslim was affected by COVID-19 in the country.		"
1196,Conspiracy theories,"The 2008 book “End of Days” predicted the current coronavirus outbreak.		"
1197,Medical advice and self-treatments,"This coronavirus-infected patient reached to Dr. Vinod Kumar but he wasn’t given the treatment. He was later referred to Bhagalpur. It further states that one should avoid meat and fish for 3 months and wear mask to protect yourself from coronavirus.		"
1198,Conspiracy theories,"A video says “the coronavirus was invented and patented in the USA and then planted in China.”		"
1199,"Vaccines, medical treatments, and tests","India has developed a treatment for coronavirus.		"
1200,Conspiracy theories,"Studies show the coronavirus was engineered to be a bioweapon.		"
1201,"Public preparedness, protests, and civil disobedience","An Australian couple ordered wine by drone on a Princess Cruise ship.		"
1202,Community spread and impact,"This map shows the global spread of COVID-19.		"
1203,Medical advice and self-treatments,"Drinking alcohol kills the coronavirus.		"
1204,"Public authority actions, policy, and communications","Data shows a massive release of sulfur dioxide gas near Wuhan.		"
1205,Virus transmission,"Popping bubble wrap exposes people to coronavirus.		"
1206,Medical advice and self-treatments,"Cocaine kills the coronavirus.		"
1207,"Vaccines, medical treatments, and tests","COVID-19 is the name of the vaccine against the novel coronavirus.		"
1208,Community spread and impact,"20 million Chinese people converted to Islam after it was proven that the coronavirus does not affect Muslims.		"
1209,Medical advice and self-treatments,"Taking a hot bath is an effective remedy against COVID-19.		"
1210,Community spread and impact,"A video claims to show an Eid prayer in China in December 2019.		"
1211,"Public preparedness, protests, and civil disobedience","Video shows quarantined people in a building in Shanghai.		"
1212,"Vaccines, medical treatments, and tests","Thailand cures COVID-19 with anti-HIV drugs.		"
1213,Community spread and impact,"There is a COVID-19 case in east Indian state.		"
1214,Community spread and impact,"There is a COVID-19 case in Ethiopia.		"
1215,"Vaccines, medical treatments, and tests","Cuban medicine cures COVID-19.		"
1216,Community spread and impact,"Bus driver in China vomits blood after becoming unconscious behind the wheel.		"
1217,Conspiracy theories,"A video shows a massive explosion in Wuhan, China, to control the spread of coronavirus.		"
1218,Medical advice and self-treatments,"Latest research by Chinese scientists said coronavirus will render most male patients infertile.		"
1219,Medical advice and self-treatments,"An “official” mask to combat the novel coronavirus was released.		"
1220,Community spread and impact,"Black skin is resistant to coronavirus.		"
1221,"Public authority actions, policy, and communications","Philippine President Rodrigo Duterte orders state hospital to accept COVID-19 patients from Wuhan.		"
1222,"Public authority actions, policy, and communications","Upon approval from Supreme People’s Court, China will kill 20,000 patients with novel coronavirus.		"
1223,Community spread and impact,"The map is “based on traces of Wuhan citizens,” between the outbreak of the new coronavirus and the blockade of Wuhan.                "
1224,"Public authority actions, policy, and communications","A large amount of sulfur dioxide was observed in Wuhan because up to 14,000 bodies were incinerated.		"
1225,Community spread and impact,"New confirmed cases of COVID-19 in Kolkatta reported by Press Trust of India.		"
1226,"Public authority actions, policy, and communications","High levels of sulfur dioxide in Wuhan “may be a sign of mass cremations of victims of the coronavirus.”		"
1227,Community spread and impact,"A video shows crows are flocking to Wuhan.		"
1228,"Public preparedness, protests, and civil disobedience","A map shows hundreds of thousands of Wuhan residents (or even 5 million of them) traveling out of the city before the lockdown.		"
1229,Community spread and impact,"People in Wuhan are locked inside their houses trying to escape a building fire.		"
1230,"Public authority actions, policy, and communications","The WHO declared COVID-19 is the abbreviation for China Outbreak Virus in December 2019.		"
1231,"Public preparedness, protests, and civil disobedience","A residential building was set on fire in Wuhan to control spread of coronavirus.		"
1232,"Public preparedness, protests, and civil disobedience","High-rise buildings have become human incinerators to combat the spread of the coronavirus.		"
1233,Conspiracy theories,"Coronavirus was created in a lab in Wuhan.		"
1234,Virus origin and properties,"Chicken infected from coronavirus found In Bangalore.		"
1235,Medical advice and self-treatments,"Boiled ginger can cure COVID-19		"
1236,Community spread and impact,"A video claims to show a plane carrying medical supplies to China.		"
1237,Community spread and impact,"COVID-19 means “China Outbreak Virus.”		"
1238,Community spread and impact,"A video shows a family killed by the coronavirus amid China’s multi-city lockdown.		"
1239,Medical advice and self-treatments,"Weed kills the coronavirus.		"
1240,"Public authority actions, policy, and communications","Chinese government requests the Supreme People’s Court for permission to kill 20,000 coronavirus patients to stop the spread of the disease		"
1241,Virus origin and properties,"Bats responsible for the outbreak of coronavirus originated from the rooftop of a house in Wuhan.		"
1242,Medical advice and self-treatments,"Using cocaine kills the coronavirus		"
1243,"Public authority actions, policy, and communications","Philippines has issued an order mandating a compulsory quarantine for all travelers returning from 23 countries.		"
1244,Claims about prominent actors,"USPS stops accepting items for China and Hong Kong		"
1245,Claims about prominent actors,"In Japan, Okinawa Prefecture Governor Tamaki Denny was seen Kachashi dancing with the mayor of Nanjo City. It was reported that “the governor and the mayor danced while the people were terrified about the new coronavirus infection.”		"
1246,"Public authority actions, policy, and communications","Police publicly kill a coronavirus-infected woman in China.		"
1247,Community spread and impact,"Coronavirus cases reported in Rome, Georgia.		"
1248,Virus transmission,"“THE CHINESE HAVE BEGUN TO USE THEIR HUMAN CORPSE TO PROCESS INTO PRODUCTS SUCH AS CORNED BEEF TO SHIP TO AFRICA. Please share with your contacts. Very important”		"
1249,Community spread and impact,"Chinese elderly couple infected with coronavirus says goodbye while they are in a hospital.		"
1250,Medical advice and self-treatments,"The coronavirus pandemic can be dramatically slowed, or stopped, with the immediate widespread use of high doses of vitamin C.		"
1251,Virus origin and properties,"COVID-19 is officially found in bats.		"
1252,Community spread and impact,"Photos show a Chinese man eating “human baby soup” have circulated on social networking platforms. He is seen sitting at a table with a stillborn baby served in front of him.		"
1253,Medical advice and self-treatments,"Silver Solution used on strains of coronavirus “totally eliminates it. Kills it. Deactivates it.”		"
1254,Medical advice and self-treatments,"The coronavirus pandemic can be dramatically slowed, or stopped, with the immediate widespread use of high doses of vitamin C.		"
1255,Medical advice and self-treatments,"COVID-19 is more deadly than Ebola or HIV.		"
1256,"Public authority actions, policy, and communications","The Chinese supreme court OK’d euthanasia for 20,000 people.                "
1257,Community spread and impact,"Videos state that 25,000 Chinese are being killed.		"
1258,"Public authority actions, policy, and communications","People in Wuhan are locked inside their houses by the Chinese government.		"
1259,Community spread and impact,"People are lying on the ground in China because they contracted the coronavirus.		"
1260,"Public authority actions, policy, and communications","“Breaking: UK prepares for full lockdown after hundreds of new cases — Wuhan super virus updates.”		"
1261,Community spread and impact,"A Chinese pirate movie called “Coronavirus” is sold in Mexico City.		"
1262,Virus origin and properties,"Coronavirus-infected chicken has been found in Bengaluru, India.		"
1263,"Public authority actions, policy, and communications","Hong Kong police are misappropriating face masks for personal use.		"
1264,Community spread and impact,"This photo shows a new coronavirus case in New South Wales.		"
1265,Medical advice and self-treatments,"Green chiratta can prevent COVID-19.		"
1266,"Public authority actions, policy, and communications","China officially said the new coronavirus had “confirmed aerosol infection” and that “in short, airborne infections” were spread.		"
1267,Community spread and impact,"Satellite images show high levels of sulphur dioxide above China are possible evidence of mass cremations of people who have died from coronavirus.		"
1268,Community spread and impact,"Ecuadorean doctor saves lifes during the Wuhan crisis.		"
1269,Community spread and impact,"Special prayer is organized by the Muslim community in China to save people from coronavirus.		"
1270,Medical advice and self-treatments,"Can cannabis cure coronavirus?		"
1271,Medical advice and self-treatments,"Garlic water can cure novel coronavirus.		"
1272,"Public authority actions, policy, and communications","A woman infected with the coronavirus was killed by Chinese police.		"
1273,Community spread and impact,"An Ecuadorian doctor saves lives during the Wuhan crisis.		"
1274,Community spread and impact,"A coronavirus-infected girl was admitted to Badulla Hospital in Sri Lanka.		"
1275,Medical advice and self-treatments,"Ginger ale is an effective cure for the 2019 novel coronavirus.		"
1276,"Public authority actions, policy, and communications","The Department of Health (DOH) and the Bureau of Immigration (BI) “issued a lookout bulletin” for the “arrest and detention” of a Chinese man who “escaped the quarantine area” of the Ninoy Aquino International Airport (NAIA).		"
1277,Claims about prominent actors,"Lysol disinfectant label says it’s tested against the new coronavirus.		"
1278,Community spread and impact,"A video shows people screaming in Wuhan because they feared the coronavirus.		"
1279,Community spread and impact,"Kazakhstanis burned and smashed Chinese restaurants and homes because of the spread of coronavirus in the country.		"
1280,Community spread and impact,"Autopsy reveals a Wuhan doctor was murdered in his sickbed.		"
1281,Medical advice and self-treatments,"The new coronavirus “causes sudden death syndrome.”		"
1282,Virus origin and properties,"Cannibalism in China has caused the outbreak of a new strain of the coronavirus. A Chinese man is preparing a dead baby for consumption.		"
1283,"Public authority actions, policy, and communications","Thai department of health published an infographic on how to properly wear face masks.		"
1284,Virus origin and properties,"A video shows the cause of COVID-19.		"
1285,Community spread and impact,"A video shows COVID-19 patients in China.		"
1286,Conspiracy theories,"The Asterix comic books and The Simpsons predicted the coronavirus outbreak.		"
1287,"Public authority actions, policy, and communications","China seeks court approval to kill over 20,000 coronavirus patients to stop the spread of the outbreak.		"
1288,Claims about prominent actors,"Chinese President Xi Jinping visited a mosque amid the coronavirus outbreak and asked the people of the Muslim community to pray about present crisis.		"
1289,Community spread and impact,"There is a patent for the new coronavirus.		"
1290,Medical advice and self-treatments,"Weed (cannabis) cures coronavirus.		"
1291,"Public authority actions, policy, and communications","China is planning to kill coronavirus patients.		"
1292,Claims about prominent actors,"Sanitizer manufacturer Dettol knew about the new coronavirus before it was reported.		"
1293,"Public authority actions, policy, and communications","China has sought to kill 20,000 coronavirus patients to control the spread of the virus.		"
1294,Claims about prominent actors,"Tencent claims that over 24,000 patients have died in China.		"
1295,Claims about prominent actors,"Chinese Premier Li Keqiang had dinner in Wuhan during the epidemic.		"
1296,Claims about prominent actors,"The Dettol disinfectant label says COVID-19 was tested.		"
1297,Claims about prominent actors,"Xi Jinping visits a mosque for coronavirus.		"
1298,"Public authority actions, policy, and communications","China asks for permission to kill 20,000 infected cases.		"
1299,Medical advice and self-treatments,"Vitamin C stops or slows novel coronavirus.		"
1300,"Public authority actions, policy, and communications","China is seeking court’s approval to kill all who tested positive with coronavirus.		"
1301,Claims about prominent actors,"The label on Dettol disinfectant spray claims it is proven to “kill coronavirus;” the company knew about the new strain since 2019.		"
1302,Virus origin and properties,"Woman eats bat soup contaminated with coronavirus in China.		"
1303,Community spread and impact,"People infected with coronavirus die in the street while doctors travel through the infection zone.		"
1304,Virus origin and properties,"Coronavirus discovered In broiler chicken.		"
1305,Conspiracy theories,"Several posts say that coronavirus deaths are linked to 5G technology.		"
1306,Medical advice and self-treatments,"The new coronavirus can be cured with a bowl of garlic water.		"
1307,Medical advice and self-treatments,"Boiled garlic water can protect from COVID-19.		"
1308,Medical advice and self-treatments,"Tinospira crispa plants can treat COVID-19.		"
1309,Community spread and impact,"There is a case of COVID-19 in Alberta, Canada, on 2/5/20.		"
1310,,"A study is linked to coronavirus.		"
1311,Virus origin and properties,"Coronavirus has infected broiler chicken.		"
1312,Medical advice and self-treatments,"Cow urine cures coronavirus.		"
1313,Claims about prominent actors,1. Chinese Prime Minister Li Keqiang visited a mosque and seek protection to the country from coronavirus. 2. Chinese president Xi Jinping visited a mosque in China after realizing the fact that only Allah can save China from this epidemic.                
1314,Claims about prominent actors,"Chinese prime minister visits a mosque following the coronavirus outbreak.		"
1315,Virus origin and properties,"The novel coronavirus contains “pShuttle-SN” sequence, proving laboratory origin.		"
1316,Claims about prominent actors,"Label on disinfectant says the new coronavirus strain is not new.		"
1317,Medical advice and self-treatments,"Weed, slang for the cannabis plant, can “kill coronavirus.”		"
1318,Community spread and impact,"Sri Lanka has eradicated coronavirus.		"
1319,Community spread and impact,"A photo shows a Japanese medical professional providing aid in Wuhan.		"
1320,Community spread and impact,"300.000 people are infected with the new coronavirus in China.		"
1321,Virus origin and properties,"COVID-19 comes from rhino horns.		"
1322,Virus transmission,"Face masks can be steamed for reuse.		"
1323,Claims about prominent actors,"The Chinese prime minister visited a mosque to gain protection for coronavirus.		"
1324,Claims about prominent actors,"Dettol sanitizer kills coronavirus and the company knew about the existence of the virus before the outbreak in China.		"
1325,Virus origin and properties,"Broiler chickens were found to have coronavirus in Mumbai.		"
1326,Virus origin and properties,"Pigs mulled in China are blamed for coronavirus.		"
1327,Claims about prominent actors,"“Kochi Prefectural Assembly, who returned from Wuhan, refused the test while it was infected with coronavirus.”		"
1328,"Vaccines, medical treatments, and tests","A Sri Lankan girl finds a cure for coronavirus.		"
1329,Claims about prominent actors,"Prime Minister of China visited a mosque and realized the only protection from coronavirus is to bow before Allah.		"
1330,Community spread and impact,"There is a confirmed case of coronavirus in the Macarthur Region of Australia.		"
1331,"Public preparedness, protests, and civil disobedience","Video from China shows people fleeing from coronavirus quarantine.		"
1332,Virus origin and properties,"Video shows bat infestation under a tiled roof, the source of coronavirus in Hubei, China.		"
1333,Community spread and impact,"A doctor faints during surgery on a coronavirus patient.		"
1334,Community spread and impact,"A doctor named Leslie Chow discovered the coronavirus and died after contact with coronavirus patients.		"
1335,Virus origin and properties,"Chickens cause coronavirus.		"
1336,Claims about prominent actors,"Alibaba Group founder Jack Ma gave US$5 million to a Filipino student who developed a vaccine for novel coronavirus.		"
1337,Community spread and impact,"A video shows domesticated and exotic animals being sold in a wet market in Wuhan, China.		"
1338,"Public authority actions, policy, and communications","Japan has sent a 1,000-man medical team to Wuhan.		"
1339,Virus transmission,"The novel coronavirus “will not spread” in the Philippines due to the country’s high temperature and relatively high humidity.		"
1340,Community spread and impact,"Coronavirus has killed 112,000 people and infected 2,800,000 in China.		"
1341,Medical advice and self-treatments,"There is an herbal cure for COVID-19.		"
1342,Community spread and impact,"A photo shows people infected with coronavirus  lying on the sidewalk in China.		"
1343,Virus origin and properties,"A video shows bats, the main source of the coronavirus, on many roofs in Hubei district.		"
1344,Medical advice and self-treatments,"Vitamin C can “stop” the new coronavirus.		"
1345,Medical advice and self-treatments,"Chlorine dioxide kits sold online under various “MMS” names — Miracle Mineral Solution, Miracle Mineral Supplement, Master Mineral Solution — will cure the coronavirus.		"
1346,Conspiracy theories,"The new coronavirus contains HIV “insertions” and shows signs of being created in a lab.		"
1347,Medical advice and self-treatments,"The new coronavirus can be cured by drinking one bowl of freshly boiled garlic water.		"
1348,Virus origin and properties,"A video shows pigs buried in China because of the coronavirus.		"
1349,Virus origin and properties,"A video shows a bat-infested roof in Hubei, China, claiming to be the source of the new coronavirus.		"
1350,Claims about prominent actors,"Bill Gates helped fund a patent for coronavirus.		"
1351,"Vaccines, medical treatments, and tests","Scientists from Australia create the first vaccine for novel coronavirus		"
1352,Medical advice and self-treatments,"Garlic soup can cure the coronavirus.		"
1353,Claims about prominent actors,"Dettol can kill the new coronavirus.		"
1354,Medical advice and self-treatments,"Scientists “are shocked to discover that weed kills coronavirus.”		"
1355,Conspiracy theories,"“The coronavirus was engineered by scientists in a lab.”		"
1356,Conspiracy theories,"Coronavirus contains “HIV insertions.”		"
1357,Medical advice and self-treatments,"Garlic water can cure the new coronavirus.		"
1358,Claims about prominent actors,"In a video, the Chinese prime minister offers namaz (prayer) during the coronavirus scare.		"
1359,Community spread and impact,"“You’re more likely to die of influenza right now” than the 2019 coronavirus.		"
1360,Virus origin and properties,"Pigs are being burned alive in China to control the coronavirus.		"
1361,Community spread and impact,"The religious beliefs of some Macedonian citizens are being used to create panic and misinformation about the new coronavirus by citing Russian texts portraying it as the beginning of a worldwide catastrophe.		"
1362,"Public authority actions, policy, and communications","A post says that WHO has adviced against unprotected sex with animals to prevent a coronavirus infection.		"
1363,Virus transmission,"The white side of a surgical mask should be worn on the outside, with the colored side on the inside.		"
1364,"Public authority actions, policy, and communications","WHO confirmed 50 new cases in Guayaquil, in Ecuador.		"
1365,"Public preparedness, protests, and civil disobedience","A photo caption reads: “The person in this image came with the Chinese lady who tested positive for coronavirus, fled to avoid medical tests and is reportedly hidden in the Delgoda (Sri Lanka) area.”		"
1366,Conspiracy theories,"Scientists claim the Wuhan coronavirus is an HIV-1 engineered “super weapon.”		"
1367,Community spread and impact,"A photo of people lying in the street is accompanied by a caption implying they are coronavirus victims in China.		"
1368,Virus transmission,"“When using a medical mask, you’re supposed to wear the white side out when you’re not sick.”		"
1369,"Public authority actions, policy, and communications","The WHO confirmed 50 new cases in Guayaquil, Ecuador, on 2/2/20.		"
1370,Medical advice and self-treatments,"Boiled ginger can cure the novel coronavirus.		"
1371,Medical advice and self-treatments,"Garlic water prevents the novel coronavirus, according to a Chinese doctor.		"
1372,"Public authority actions, policy, and communications","The Taiwanese flag is printed on masks to prevent the Chinese from buying them.		"
1373,Conspiracy theories,"“Scientists found similar sequences in the coronavirus as in HIV.”		"
1374,Conspiracy theories,"Charles Lieber, a Harvard University professor who was arrested, had a connection to the new coronavirus.		"
1375,Community spread and impact,"A photo shows dead people on the streets of China.		"
1376,Community spread and impact,"A video caption said: “Doctor affected by the virus in a hospital in Wuhan, China.”		"
1377,Community spread and impact,"A photo shows the newly built hospital in Wuhan.		"
1378,Conspiracy theories,"The coronavirus is “a military bio-weapon developed by China’s Army.”		"
1379,Virus origin and properties,"The novel coronavirus is not a new virus.		"
1380,"Public authority actions, policy, and communications","A photo shows a medical team of 1,000 sent by Japan to Wuhan.		"
1381,"Public authority actions, policy, and communications","Punjab authorities have advised citizens not to eat goat meat for 60 days.		"
1382,"Public authority actions, policy, and communications","Singapore closed a subway station after a case of COVID-19.		"
1383,Conspiracy theories,"Chinese spies stole the coronavirus from a Canadian lab.		"
1384,Community spread and impact,"A photo shows corpses strewn about in China due to the coronavirus.		"
1385,Community spread and impact,"The coronavirus is a “virus weapon” as lethal as Ebola. Everyone who is infected dies.		"
1386,"Public authority actions, policy, and communications","China builds a hospital for coronavirus patients in 48 hours.		"
1387,Community spread and impact,"A video of an Indonesian traditional market is being used to depict Wuhan, China.		"
1388,"Public authority actions, policy, and communications","The coronavirus was called a “plague” by the WHO; 2.9 million were infected and 950,680 died.		"
1389,,"A video shows a market in the Chinese city of Wuhan, where the deadly coronavirus strain emerged.		"
1390,"Vaccines, medical treatments, and tests","A team of medical trainees from JKUAT (a university in Kenya) have developed and tested a vaccine successfully.		"
1391,Claims about prominent actors,"The coronavirus isn’t new because “Lysol has it listed as one of the viruses it kills.”		"
1392,Virus transmission,"The “proper” way to wear a surgical mask is blue side out if you are sick and white side out if you do not want to be infected by the virus.		"
1393,Conspiracy theories,"Coronavirus outbreak attributed to an advisory from India’s Health Ministry.		"
1394,Community spread and impact,"Corpses of coronavirus victims are scattered on a street in Wuhan, China.		"
1395,Community spread and impact,"4,600 Chinese arrived to Hakata Port, in Japan.		"
1396,Claims about prominent actors,"“Tokyo Olympic Games 2020 will be canceled because of coronavirus.”		"
1397,Claims about prominent actors,"In Japan, “It’s the Democratic party’s fault that health insurance system is abused by foreigners”		"
1398,,"We did a Q&A on the facts about the coronavirus.		"
1399,Community spread and impact,"Manir Hossain, a 23-year-old man from India’s Tripura, died in a hospital in Malaysia due to the new coronavirus.		"
1400,Community spread and impact,"Mélange Of Unrelated Videos From China Shared Misleadingly In Context To Recent Corona Virus Outbreak.		"
1401,"Vaccines, medical treatments, and tests","Romania developed a coronavirus vaccine able to cure white people only.		"
1402,Virus origin and properties,"Video shows a parasite being removed for someone’s lips, sharing it in relation with coronavirus.		"
1403,Community spread and impact,"A video of a girl collapsing in a store because she was affected by coronavirus.		"
1404,Medical advice and self-treatments,"“Cocaine kills coronavirus, scientists are shocked to discover that this drug can fight the virus.”		"
1405,Community spread and impact,"Coronavirus hits a 15% fatality rate.		"
1406,Medical advice and self-treatments,"A bowl of freshly boiled garlic water can cure the novel coronavirus (2019-nCoV)		"
1407,Claims about prominent actors,"Philippines’ “local mainstream media” reported that the novel coronavirus (2019-nCoV) has a low mortality rate.		"
1408,Virus origin and properties,"Video of “the market of terror, where the coronavirus originated”.		"
1409,Community spread and impact,"Picture of the first new Wuhan coronavirus hospital.		"
1410,Community spread and impact,"A man collapses in a staircase because of the CoV.		"
1411,"Public authority actions, policy, and communications","Government of India recommends homeopathy and other alternative medicines for preventing coronavirus.		"
1412,Community spread and impact,"This video shows a seafood market in Wuhan, China.		"
1413,Community spread and impact,"Video of a girl dying of coronavirus in a shopping mall.		"
1414,Community spread and impact,"Chinese people rush to Japan to abuse Japanese health insurance system.		"
1415,Virus origin and properties,"A tweet entitled “Risk of novel coronavirus and countermeasures” saying “The virus stays alive for 48 hours.” “The clothes need to be disinfected with alcohol and goggles to prevent corneal infection.” “Die without fever.”		"
1416,Community spread and impact,"The first patient diagnosed in Ecuador with COVID-19 died. (Jan. 29)		"
1417,Community spread and impact,"Coronavirus is in Des Moines. (Jan. 29)		"
1418,Claims about prominent actors,"Scripps urgent care in San Diego is on lockdown, two people with the new coronavirus are isolated.		"
1419,Conspiracy theories,"The Umbrella Corporation, from the video game Resident Evil, is linked to the Chinese company RLSW.		"
1420,Community spread and impact,"Posts saying that, for several centuries, there have been pandemics in the 20’s.		"
1421,Community spread and impact,"This is the picture of the first new Wuhan coronavirus hospital.		"
1422,Community spread and impact,"A photograph that shows people on the floor demonstrates the impact of the new coronavirus in China.		"
1423,Community spread and impact,"There is a “positive” case of the novel coronavirus (nCoV) in a hospital in Banlic, Cabuyao City, Laguna, Philippines in January 2020.		"
1424,"Public authority actions, policy, and communications","Health Ministry fired the doctor that diagnosed some coronavirus patients.		"
1425,Conspiracy theories,"A “Wuhan super virus” was created in a Chinese biosecurity lab and has infected more than 100,000 people in Wuhan.		"
1426,Virus origin and properties,"Video showsing a larva being extracted from a person’s lip and its relation to the new coronavirus.		"
1427,Medical advice and self-treatments,"Avoid ice-creams, cold drinks, and sweets for 90 days to prevent coronavirus.		"
1428,Community spread and impact,"New coronavirus information: “15% fatality rate, 83% infection rate” and “the worst in human history”.		"
