,Claim,Keywords
958,President Donald Trump tweeted   Coronavirus vaccine from Israel  Stock market up  Economy even stronger now  Besides US  Israel best at inventions  Judaism  olives  Wonderful vaccine  will stop Corona DEAD around world  Can t make vaccines when being bombed  not have been possible without peace I created in Israel    ,"['president', 'donald', 'trump', 'tweeted', 'coronavirus', 'vaccine', 'israel', 'stock', 'market', 'economy', 'even', 'stronger', 'besides', 'israel', 'best', 'invention', 'judaism', 'olive', 'wonderful', 'vaccine', 'stop', 'corona', 'dead', 'around', 'world', 'make', 'vaccine', 'bombed', 'possible', 'without', 'peace', 'created', 'israel']"
959,A post says that there is a movie that predicted the pandemic and it s called  Coronavirus    ,"['movie', 'predicted', 'pandemic', 'called', 'coronavirus']"
960,Article says that the Vatican confirmed that the Pope and two assistants have coronavirus   ,"['article', 'vatican', 'confirmed', 'pope', 'assistant', 'coronavirus']"
961,This video shows panic buying in the United States  during the coronavirus outbreak  ,"['this', 'show', 'panic', 'buying', 'united', 'state', 'coronavirus', 'outbreak']"
962,Israel creates a vaccine for the coronavirus   ,"['israel', 'creates', 'vaccine', 'coronavirus']"
963,Dr  Lupita Yamamoto has found a vaccine that destroys the coronavirus   ,"['lupita', 'yamamoto', 'found', 'vaccine', 'destroys', 'coronavirus']"
964,   coronavirus cases confirmed in Ecuador   ,"['coronavirus', 'case', 'confirmed', 'ecuador']"
965,The common cold is the only type of coronavirus   ,"['common', 'cold', 'type', 'coronavirus']"
966,Officials say coronavirus killed     in Iran   ,"['official', 'coronavirus', 'killed', 'iran']"
967,Cow dung and cow urine can cure coronavirus   ,"['dung', 'urine', 'cure', 'coronavirus']"
968,Consuming large doses of Vitamin C can stop the spread of coronavirus   ,"['consuming', 'large', 'vitamin', 'stop', 'spread', 'coronavirus']"
969, Man visited Albany  N Y   days before dying from coronavirus    ,"['visited', 'albany', 'dying', 'coronavirus']"
970, The State of Florida has announced measures that all workplaces with    employees or more are to have paid mandatory leave to avoid the spread of COVID    coronavirus starting on March          All schools are to close for   weeks also from March      ,"['state', 'florida', 'announced', 'measure', 'workplace', 'employee', 'paid', 'mandatory', 'leave', 'avoid', 'spread', 'covid', 'coronavirus', 'starting', 'march', 'school', 'close', 'week', 'also', 'march']"
971,The media  pulled down an entire shelf of goods so that they can present the news of people buying stuff in a hysteria over the coronavirus    ,"['medium', 'pulled', 'entire', 'shelf', 'good', 'present', 'news', 'people', 'buying', 'stuff', 'hysteria', 'coronavirus']"
972, The Obama administration made a decision on testing that turned out to be very detrimental to what we re doing  on the coronavirus   ,"['obama', 'administration', 'made', 'decision', 'testing', 'turned', 'detrimental', 'coronavirus']"
973,The Obama administration  didn t do anything about  swine flu   ,"['obama', 'administration', 'anything', 'swine']"
974, With regard to the cost  let me be very clear  HHS has designated the coronavirus test as an essential health benefit  That means  by definition  it s covered in the private health insurance of every American  as well as covered by Medicare and Medicaid    ,"['with', 'regard', 'cost', 'clear', 'designated', 'coronavirus', 'test', 'essential', 'health', 'benefit', 'that', 'mean', 'definition', 'covered', 'private', 'health', 'insurance', 'every', 'american', 'well', 'covered', 'medicare', 'medicaid']"
975,Trump s effort to blame Obama for sluggish coronavirus testing   ,"['trump', 'effort', 'blame', 'obama', 'sluggish', 'coronavirus', 'testing']"
976,Colombia closes its borders to Ecuadorians   ,"['colombia', 'close', 'border', 'ecuadorian']"
977,First coronavirus case in Ambato  Ecuador   ,"['first', 'coronavirus', 'case', 'ambato', 'ecuador']"
978,Ads are selling masks protecting against COVID      ,"['selling', 'mask', 'protecting', 'covid']"
979,Multiple allegations on how to protect oneself from CoV   ,"['multiple', 'allegation', 'protect', 'oneself']"
980,A man is hospitalized after eating a bat   ,"['hospitalized', 'eating']"
981,Russia said COVID    is man made   ,"['russia', 'said', 'covid', 'made']"
982,The coronavirus has been discovered in poultry   ,"['coronavirus', 'discovered', 'poultry']"
983,A Nigerian taxi driver threatens to spread COVID      ,"['nigerian', 'taxi', 'driver', 'threatens', 'spread', 'covid']"
984,The photos show Indians bathing in cow dung to prevent infection   ,"['photo', 'show', 'indian', 'bathing', 'dung', 'prevent', 'infection']"
985,Video shows Wuhan residents lining up for death certificates   ,"['video', 'show', 'wuhan', 'resident', 'lining', 'death', 'certificate']"
986,Chinese official detainted a CoV case   ,"['chinese', 'official', 'detainted', 'case']"
987,A health expert surmises that the new coronavirus might not spread in Nigeria because of the hot temperature   ,"['health', 'expert', 'surmise', 'coronavirus', 'might', 'spread', 'nigeria', 'temperature']"
988,Ecuadorean doctor develops a vaccine for COVID      ,"['ecuadorean', 'doctor', 'develops', 'vaccine', 'covid']"
989,Two cases of coronavirus have been reported in Loja  in Ecuador   ,"['case', 'coronavirus', 'reported', 'loja', 'ecuador']"
990,Azuay Governor in Ecuador seeks the cure of covid    in indigenous medicine   ,"['azuay', 'governor', 'ecuador', 'seek', 'cure', 'covid', 'indigenous', 'medicine']"
991,An image shows Senate Minority Leader Chuck Schumer criticizing President Trump s restrictions on foreign nationals traveling to the U S  from China   ,"['image', 'show', 'senate', 'minority', 'leader', 'chuck', 'schumer', 'criticizing', 'president', 'trump', 'restriction', 'foreign', 'national', 'traveling', 'china']"
992,The government   or specific states such as Michigan or Florida   has mandated that employers and schools close for two weeks   ,"['government', 'specific', 'state', 'michigan', 'florida', 'mandated', 'employer', 'school', 'close', 'week']"
993,A bovine vaccine can be used to inoculate people against coronavirus   ,"['bovine', 'vaccine', 'used', 'inoculate', 'people', 'coronavirus']"
994,Patents mean deadly diseases and viruses were created or invented in a lab   ,"['patent', 'mean', 'deadly', 'disease', 'virus', 'created', 'invented']"
995,An audio clip claims Kenya has recorded    cases of COVID      ,"['claim', 'kenya', 'recorded', 'case', 'covid']"
996,Bloggers say the Vatican reports that Pope Francis tested negative for the coronavirus before a second test came back positive   ,"['blogger', 'vatican', 'report', 'pope', 'francis', 'tested', 'negative', 'coronavirus', 'second', 'test', 'came', 'back', 'positive']"
997,Video shows President Donald Trump saying COVID    is the Democrats   new hoax    ,"['video', 'show', 'president', 'donald', 'trump', 'saying', 'covid', 'democrat', 'hoax']"
998,Ecuadorian doctor develops a vaccine for COVID      ,"['ecuadorian', 'doctor', 'develops', 'vaccine', 'covid']"
999,This photo shows a brothel in Europe where people have been quarantined   ,"['this', 'show', 'brothel', 'europe', 'people', 'quarantined']"
1000,These are seven  evil  things COVID    is  afraid  of   ,"['these', 'seven', 'evil', 'thing', 'covid', 'afraid']"
1001,A runny nose and sputum secretion are not symptoms of novel coronavirus   ,"['runny', 'nose', 'sputum', 'secretion', 'symptom', 'novel', 'coronavirus']"
1002,Israeli scientists have developed a COVID    vaccine   ,"['israeli', 'scientist', 'developed', 'covid', 'vaccine']"
1003,Twitter users said Adutwumwaa Bitters cure coronavirus   ,"['twitter', 'user', 'said', 'adutwumwaa', 'bitter', 'cure', 'coronavirus']"
1004,Constant sex kills coronavirus   ,"['constant', 'kill', 'coronavirus']"
1005,Viral photo in Nigeria suggests former President Obasanjo said there is no coronavirus in Nigeria and that the minister of health lied   ,"['viral', 'nigeria', 'suggests', 'former', 'president', 'obasanjo', 'said', 'coronavirus', 'nigeria', 'minister', 'health', 'lied']"
1006,Ecuadorean youtuber Raùl Alvarez Guene supposedly infected with COVID      ,"['ecuadorean', 'youtuber', 'raùl', 'alvarez', 'guene', 'supposedly', 'infected', 'covid']"
1007,There are cases of coronavirus in the Amazon forest   ,"['there', 'case', 'coronavirus', 'amazon', 'forest']"
1008,Local hospital in Ecuador says first covid patient didn t have coronavirus   ,"['local', 'hospital', 'ecuador', 'first', 'covid', 'patient', 'coronavirus']"
1009,A bovine coronavirus vaccine  for cattle  is proof that the novel coronavirus isn t  new  and is evidence of  how much the media controls people    ,"['bovine', 'coronavirus', 'vaccine', 'cattle', 'proof', 'novel', 'coronavirus', 'evidence', 'much', 'medium', 'control', 'people']"
1010,Journalist claims a coronavirus patient was murdered   ,"['journalist', 'claim', 'coronavirus', 'patient', 'murdered']"
1011,U S  Vice President Pence urged people with coronavirus to go to the police   ,"['vice', 'president', 'penny', 'urged', 'people', 'coronavirus', 'police']"
1012,Man critical with novel coronavirus in Barhalganj  India   ,"['critical', 'novel', 'coronavirus', 'barhalganj', 'india']"
1013,Alcohol kills the coronavirus   ,"['alcohol', 'kill', 'coronavirus']"
1014,Post says two patients at Valley Regional Medical Center in Brownsville  Texas   are being looked at  for possible coronavirus infections   ,"['post', 'patient', 'valley', 'regional', 'medical', 'center', 'brownsville', 'texas', 'looked', 'possible', 'coronavirus', 'infection']"
1015,The United States is  actually screening fewer people  for the coronavirus than other countries  because we don t have appropriate testing    ,"['united', 'state', 'actually', 'screening', 'fewer', 'people', 'coronavirus', 'country', 'appropriate', 'testing']"
1016,U S  Senator Lindsey Graham says President Trump  probably knows more about medicine and specifically viruses than any of the so called scientists at the NIH and CDC    ,"['senator', 'lindsey', 'graham', 'president', 'trump', 'probably', 'know', 'medicine', 'specifically', 'virus', 'called', 'scientist']"
1017, Coronavirus hoax  Fake virus pandemic fabricated to cover up global outbreak of  G Syndrome    ,"['coronavirus', 'hoax', 'fake', 'virus', 'pandemic', 'fabricated', 'cover', 'global', 'outbreak', 'syndrome']"
1018,Multiple videos claim garlic and onions can prevent and cure infection from the novel coronavirus   ,"['multiple', 'video', 'claim', 'garlic', 'onion', 'prevent', 'cure', 'infection', 'novel', 'coronavirus']"
1019,Local hospital in Ecuador says first COVID    patient didn t have coronavirus   ,"['local', 'hospital', 'ecuador', 'first', 'covid', 'patient', 'coronavirus']"
1020,Indonesia has provided       free tickets for nationals to return home from abroad   ,"['indonesia', 'provided', 'free', 'ticket', 'national', 'return', 'home', 'abroad']"
1021,This is a video of panicked shoppers storming a supermarket amid the coronavirus pandemic   ,"['this', 'panicked', 'shopper', 'storming', 'supermarket', 'amid', 'coronavirus', 'pandemic']"
1022,Four patients infected with the coronavirus are hospitalized in Sri Lanka   ,"['four', 'patient', 'infected', 'coronavirus', 'hospitalized', 'lanka']"
1023, Florida hospital reports a coronavirus  infestation  with multiple confirmed patients    ,"['florida', 'hospital', 'report', 'coronavirus', 'infestation', 'multiple', 'confirmed', 'patient']"
1024,Photo shows a man wearing a  government issued Saint Laurent hazardous materials suit    ,"['photo', 'show', 'wearing', 'government', 'issued', 'saint', 'laurent', 'hazardous', 'material', 'suit']"
1025, Shands Hospital of Gainesville  Florida  has confirmed its first case of coronavirus    ,"['shands', 'hospital', 'gainesville', 'florida', 'confirmed', 'first', 'case', 'coronavirus']"
1026,Post says no one has died from the coronavirus in the United States   ,"['post', 'died', 'coronavirus', 'united', 'state']"
1027,The coronavirus is  simply the common cold    ,"['coronavirus', 'simply', 'common', 'cold']"
1028,Photo of Iranian officials visiting the vice president after she contracted COVID      ,"['photo', 'iranian', 'official', 'visiting', 'vice', 'president', 'contracted', 'covid']"
1029,Vatican says Pope Francis has been infected with the novel coronavirus   ,"['vatican', 'pope', 'francis', 'infected', 'novel', 'coronavirus']"
1030,   points of expert advice about coronavirus  including symptoms  prevention and how it spreads   ,"['point', 'expert', 'advice', 'coronavirus', 'including', 'symptom', 'prevention', 'spread']"
1031,Mongolia donates        sheep to China during the coronavirus epidemic   ,"['mongolia', 'donates', 'sheep', 'china', 'coronavirus', 'epidemic']"
1032,Volcanic ash can kill the coronavirus   ,"['volcanic', 'kill', 'coronavirus']"
1033,Health Ministry in Ecuador confirms three new cases of coronavirus   ,"['health', 'ministry', 'ecuador', 'confirms', 'three', 'case', 'coronavirus']"
1034,Pope Francis is infected with coronavirus   ,"['pope', 'francis', 'infected', 'coronavirus']"
1035,Doctors recommend carbon filter face masks to prevent coronavirus spread   ,"['doctor', 'recommend', 'carbon', 'filter', 'face', 'mask', 'prevent', 'coronavirus', 'spread']"
1036,Russia announces the closure of airspace and suspends all incoming and outgoing flights to China   ,"['russia', 'announces', 'closure', 'airspace', 'suspends', 'incoming', 'outgoing', 'flight', 'china']"
1037,Police in China have killed        COVID    patients so far   ,"['police', 'china', 'killed', 'covid', 'patient']"
1038,COVID    came from Chinese people eating human babies  in an effort to improve their skin   ,"['covid', 'came', 'chinese', 'people', 'eating', 'human', 'baby', 'effort', 'improve', 'skin']"
1039,President Barack Obama  waited six months to call swine flu an emergency after thousands died    ,"['president', 'barack', 'obama', 'waited', 'month', 'call', 'swine', 'emergency', 'thousand', 'died']"
1040,Doctors in Japan advise people to drink water every    minutes to prevent an infection   ,"['doctor', 'japan', 'advise', 'people', 'drink', 'water', 'every', 'minute', 'prevent', 'infection']"
1041,Vitamin helps against COVID      ,"['vitamin', 'help', 'covid']"
1042,Election years in the United States coincide with major disease outbreaks   ,"['election', 'year', 'united', 'state', 'coincide', 'major', 'disease', 'outbreak']"
1043,Shaving facial hair ensures safety from COVID     further attributing the message to the CDC   ,"['shaving', 'facial', 'hair', 'ensures', 'safety', 'covid', 'attributing', 'message']"
1044,Chinese police use a fishing net to arrest a man with a high fever   ,"['chinese', 'police', 'fishing', 'arrest', 'high', 'fever']"
1045,Florida man is arrested for robbery using cough as a weapon   ,"['florida', 'arrested', 'robbery', 'using', 'cough', 'weapon']"
1046,A  poll finds     of Americans say they will not drink Corona beer because of the virus    ,"['poll', 'find', 'american', 'drink', 'corona', 'beer', 'virus']"
1047, Every election year has a disease    SARS in       avian flu in       swine flu in       MERS in       Ebola in      and       Zika in      and the coronavirus in        ,"['every', 'election', 'year', 'disease', 'sars', 'avian', 'swine', 'mers', 'ebola', 'zika', 'coronavirus']"
1048,Airport in Karachi suspends all international arrivals during coronavirus epidemic   ,"['airport', 'karachi', 'suspends', 'international', 'arrival', 'coronavirus', 'epidemic']"
1049,Holding your breath can test for COVID      ,"['holding', 'breath', 'test', 'covid']"
1050,Lysol products can kill the novel coronavirus   ,"['lysol', 'product', 'kill', 'novel', 'coronavirus']"
1051,The WHO has issued an alert against buying holy colors from China  ,"['issued', 'alert', 'buying', 'holy', 'color', 'china']"
1052, America has been vaccinating cattle for coronavirus for years  yet the news tells you it s new and going to kill you all  so go buy a mask    ,"['america', 'vaccinating', 'cattle', 'coronavirus', 'year', 'news', 'tell', 'going', 'kill', 'mask']"
1053, The blood test for coronavirus costs           ,"['blood', 'test', 'coronavirus', 'cost']"
1054,Starting in March  if you travel outside of the United States you won t be allowed back in the country  due to high risk of the coronavirus    ,"['starting', 'march', 'travel', 'outside', 'united', 'state', 'allowed', 'back', 'country', 'high', 'risk', 'coronavirus']"
1055,  Akira  is a      movie about an apocalyptic event taking place months before Tokyo      Olympics  showing the WHO advising Japan to postpone the Olympics because of a pandemic risk    ,"['akira', 'movie', 'apocalyptic', 'event', 'taking', 'place', 'month', 'tokyo', 'olympics', 'showing', 'advising', 'japan', 'postpone', 'olympics', 'pandemic', 'risk']"
1056,A video accompanying a claim shows bodies being removed from a hospital in Iran during the novel coronavirus pandemic   ,"['accompanying', 'claim', 'show', 'body', 'removed', 'hospital', 'iran', 'novel', 'coronavirus', 'pandemic']"
1057,CDC issued facial hair recommendation for novel coronavirus prevention   ,"['issued', 'facial', 'hair', 'recommendation', 'novel', 'coronavirus', 'prevention']"
1058,You can maintain the alkaline state of the body to avoid contagion   ,"['maintain', 'alkaline', 'state', 'body', 'avoid', 'contagion']"
1059,Hair Weaves And Lace Front Wigs Made In China Likely To Contain coronavirus   ,"['hair', 'weave', 'lace', 'front', 'made', 'china', 'likely', 'contain', 'coronavirus']"
1060,A post says  hair weave and lace fronts manufactured in China may contain the coronavirus    ,"['hair', 'weave', 'lace', 'front', 'manufactured', 'china', 'contain', 'coronavirus']"
1061, Coronavirus  Florida man arrested for robbery using cough as a weapon    ,"['coronavirus', 'florida', 'arrested', 'robbery', 'using', 'cough', 'weapon']"
1062,The CDC recommends men shave their beards to protect against coronavirus   ,"['recommends', 'shave', 'beard', 'protect', 'coronavirus']"
1063,Singapore government said confirmed case No     is a prostitute  As a result  many of her clients are under quarantine   ,"['singapore', 'government', 'said', 'confirmed', 'case', 'prostitute', 'result', 'many', 'client', 'quarantine']"
1064,A post say  hair weave and lace fronts manufactured in China may contain the coronavirus    ,"['hair', 'weave', 'lace', 'front', 'manufactured', 'china', 'contain', 'coronavirus']"
1065,A man is allegedly selling medical masks for    denars on a bus owned by the Skopje Public Transportation Enterprise   ,"['allegedly', 'selling', 'medical', 'mask', 'denars', 'owned', 'skopje', 'public', 'transportation', 'enterprise']"
1066, Hair weave and lace fronts manufactured in China may contain the coronavirus    ,"['hair', 'weave', 'lace', 'front', 'manufactured', 'china', 'contain', 'coronavirus']"
1067,Multiple allegations on how to protect oneself from the new coronavirus   ,"['multiple', 'allegation', 'protect', 'oneself', 'coronavirus']"
1068,Coronavirus infects chickens in Pakistan   ,"['coronavirus', 'infects', 'chicken', 'pakistan']"
1069,Infected taxi driver demands money from his government otherwise he ll infect others   ,"['infected', 'taxi', 'driver', 'demand', 'money', 'government', 'otherwise', 'infect', 'others']"
1070,Indian Government and the WHO advised people not to purchase colors from China for Holi   ,"['indian', 'government', 'advised', 'people', 'purchase', 'color', 'china', 'holi']"
1071,China needs coronavirus SWAT  special weapons and tactics  police teams to arrest this coronavirus victim   ,"['china', 'need', 'coronavirus', 'swat', 'special', 'weapon', 'tactic', 'police', 'team', 'arrest', 'coronavirus', 'victim']"
1072,Coronavirus is a bioweapon leaked from a Wuhan lab   ,"['coronavirus', 'bioweapon', 'leaked', 'wuhan']"
1073,Coronavirus patients are being  cremated alive  in China   ,"['coronavirus', 'patient', 'cremated', 'alive', 'china']"
1074,Evidence indicates COVID    escaped a Chinese lab that was researching it  causing the outbreak   ,"['evidence', 'indicates', 'covid', 'escaped', 'chinese', 'researching', 'causing', 'outbreak']"
1075,The mortality rate for the flu is  right around  that of the new coronavirus   It s right around       ,"['mortality', 'rate', 'right', 'around', 'coronavirus', 'right', 'around']"
1076,These are measures that protect from novel coronavirus   ,"['these', 'measure', 'protect', 'novel', 'coronavirus']"
1077,Infected taxi driver demands money from his government or he ll infect others   ,"['infected', 'taxi', 'driver', 'demand', 'money', 'government', 'infect', 'others']"
1078,President Trump claims the virus is under control and testing is available   ,"['president', 'trump', 'claim', 'virus', 'control', 'testing', 'available']"
1079,Chinese people convert to Islam because of COVID      ,"['chinese', 'people', 'convert', 'islam', 'covid']"
1080,Radio host Rush Limbaugh compares novel coronavirus to  the common cold    ,"['radio', 'host', 'rush', 'limbaugh', 'compare', 'novel', 'coronavirus', 'common', 'cold']"
1081,Coronavirus case in Uttar Pradesh district  India   ,"['coronavirus', 'case', 'uttar', 'pradesh', 'district', 'india']"
1082,Shoppers in China storm supermarket after coronavirus outbreak   ,"['shopper', 'china', 'storm', 'supermarket', 'coronavirus', 'outbreak']"
1083,A Chinese SWAT Team takes down a coronavirus suspect  ,"['chinese', 'swat', 'team', 'take', 'coronavirus', 'suspect']"
1084, The coronavirus is the common cold  folks    ,"['coronavirus', 'common', 'cold', 'folk']"
1085,Video says President Donald Trump spawned the  Wuhan super virus outbreak under code name  zyphr     ,"['video', 'president', 'donald', 'trump', 'spawned', 'wuhan', 'super', 'virus', 'outbreak', 'code', 'name', 'zyphr']"
1086,Nostradamus predicted the coronavirus   ,"['nostradamus', 'predicted', 'coronavirus']"
1087,A video shows an anti China protest amid the COVID    outbreak in Italy   ,"['show', 'anti', 'china', 'protest', 'amid', 'covid', 'outbreak', 'italy']"
1088,Bill Gates wrote a letter saying COVID    is teaching humans a lesson   ,"['bill', 'gate', 'wrote', 'letter', 'saying', 'covid', 'teaching', 'human', 'lesson']"
1089,There is a case of coronavirus at the School of Architects of Madrid   ,"['there', 'case', 'coronavirus', 'school', 'architect', 'madrid']"
1090,Post says  people of color may be immune to the coronavirus because of melanin    ,"['post', 'people', 'color', 'immune', 'coronavirus', 'melanin']"
1091,Video shows Chinese officials detaining suspected coronavirus cases   ,"['video', 'show', 'chinese', 'official', 'detaining', 'suspected', 'coronavirus', 'case']"
1092,This map shows high sulphur dioxide in Wuhan now due to the burning of corpses   ,"['this', 'show', 'high', 'sulphur', 'dioxide', 'wuhan', 'burning', 'corps']"
1093,Chinese people flee to Vietnam due to COVID      ,"['chinese', 'people', 'flee', 'vietnam', 'covid']"
1094,These charts show the difference betweem COVID     flu and common cold   ,"['these', 'chart', 'show', 'difference', 'betweem', 'covid', 'common', 'cold']"
1095,Chinese people are fleeing China to Vietnam because of coronavirus   ,"['chinese', 'people', 'fleeing', 'china', 'vietnam', 'coronavirus']"
1096,Six coronavirus cases confirmed in Wichita  Kansas   ,"['coronavirus', 'case', 'confirmed', 'wichita', 'kansa']"
1097,Four people have died in Zanzibar after handling a chicken infected with COVID      ,"['four', 'people', 'died', 'zanzibar', 'handling', 'chicken', 'infected', 'covid']"
1098,Cannabis boosts immunity against COVID     ,"['cannabis', 'boost', 'immunity', 'covid']"
1099,Rainbow shimmers behind a COVID    disinfectant truck in China   ,"['rainbow', 'shimmer', 'behind', 'covid', 'disinfectant', 'truck', 'china']"
1100,Chinese converting to Islam after realizing that no Muslim was affected by COVD   in the country   ,"['chinese', 'converting', 'islam', 'realizing', 'muslim', 'affected', 'covd', 'country']"
1101,   million Chinese convert to Islam  and coronavirus does not affect Muslims   ,"['million', 'chinese', 'convert', 'islam', 'coronavirus', 'affect', 'muslim']"
1102,The Simpsons predicted the new coronavirus outbreak   ,"['simpson', 'predicted', 'coronavirus', 'outbreak']"
1103,People queue in Singapore for Halal food   ,"['people', 'queue', 'singapore', 'halal', 'food']"
1104,In Japan  if the new coronavirus test is negative  the cost is        yen  If positive  the state will bear the cost   ,"['japan', 'coronavirus', 'test', 'negative', 'cost', 'positive', 'state', 'bear', 'cost']"
1105,Chinese police kill a woman escaping a COVID    quarantine in China   ,"['chinese', 'police', 'kill', 'woman', 'escaping', 'covid', 'quarantine', 'china']"
1106,Coronavirus is a biological warfare weapon   ,"['coronavirus', 'biological', 'warfare', 'weapon']"
1107,Chinese are converting to Islam after realizing that no Muslim was affected by COVID    in the country   ,"['chinese', 'converting', 'islam', 'realizing', 'muslim', 'affected', 'covid', 'country']"
1108,The      book  End of Days  predicted the current coronavirus outbreak   ,"['book', 'predicted', 'current', 'coronavirus', 'outbreak']"
1109,This coronavirus infected patient reached to Dr  Vinod Kumar but he wasn t given the treatment  He was later referred to Bhagalpur  It further states that one should avoid meat and fish for   months and wear mask to protect yourself from coronavirus   ,"['this', 'coronavirus', 'infected', 'patient', 'reached', 'vinod', 'kumar', 'given', 'treatment', 'later', 'referred', 'bhagalpur', 'state', 'avoid', 'meat', 'fish', 'month', 'wear', 'mask', 'protect', 'coronavirus']"
1110,A video says  the coronavirus was invented and patented in the USA and then planted in China    ,"['coronavirus', 'invented', 'patented', 'planted', 'china']"
1111,India has developed a treatment for coronavirus   ,"['india', 'developed', 'treatment', 'coronavirus']"
1112,Studies show the coronavirus was engineered to be a bioweapon   ,"['study', 'show', 'coronavirus', 'engineered', 'bioweapon']"
1113,An Australian couple ordered wine by drone on a Princess Cruise ship   ,"['australian', 'couple', 'ordered', 'wine', 'drone', 'princess', 'cruise', 'ship']"
1114,This map shows the global spread of COVID      ,"['this', 'show', 'global', 'spread', 'covid']"
1115,Drinking alcohol kills the coronavirus   ,"['drinking', 'alcohol', 'kill', 'coronavirus']"
1116,Data shows a massive release of sulfur dioxide gas near Wuhan   ,"['data', 'show', 'massive', 'release', 'sulfur', 'dioxide', 'near', 'wuhan']"
1117,Popping bubble wrap exposes people to coronavirus   ,"['popping', 'bubble', 'wrap', 'expose', 'people', 'coronavirus']"
1118,COVID    is the name of the vaccine against the novel coronavirus   ,"['covid', 'name', 'vaccine', 'novel', 'coronavirus']"
1119,   million Chinese people converted to Islam after it was proven that the coronavirus does not affect Muslims   ,"['million', 'chinese', 'people', 'converted', 'islam', 'proven', 'coronavirus', 'affect', 'muslim']"
1120,Taking a hot bath is an effective remedy against COVID      ,"['taking', 'bath', 'effective', 'remedy', 'covid']"
1121,A video claims to show an Eid prayer in China in December        ,"['claim', 'show', 'prayer', 'china', 'december']"
1122,Video shows quarantined people in a building in Shanghai   ,"['video', 'show', 'quarantined', 'people', 'building', 'shanghai']"
1123,Thailand cures COVID    with anti HIV drugs   ,"['thailand', 'cure', 'covid', 'anti', 'drug']"
1124,There is a COVID    case in east Indian state   ,"['there', 'covid', 'case', 'east', 'indian', 'state']"
1125,There is a COVID    case in Ethiopia   ,"['there', 'covid', 'case', 'ethiopia']"
1126,Cuban medicine cures COVID      ,"['cuban', 'medicine', 'cure', 'covid']"
1127,Bus driver in China vomits blood after becoming unconscious behind the wheel   ,"['driver', 'china', 'vomit', 'blood', 'becoming', 'unconscious', 'behind', 'wheel']"
1128,A video shows a massive explosion in Wuhan  China  to control the spread of coronavirus   ,"['show', 'massive', 'explosion', 'wuhan', 'china', 'control', 'spread', 'coronavirus']"
1129,Latest research by Chinese scientists said coronavirus will render most male patients infertile   ,"['latest', 'research', 'chinese', 'scientist', 'said', 'coronavirus', 'render', 'male', 'patient', 'infertile']"
1130,An  official  mask to combat the novel coronavirus was released   ,"['official', 'mask', 'combat', 'novel', 'coronavirus', 'released']"
1131,Black skin is resistant to coronavirus   ,"['black', 'skin', 'resistant', 'coronavirus']"
1132,Philippine President Rodrigo Duterte orders state hospital to accept COVID    patients from Wuhan   ,"['philippine', 'president', 'rodrigo', 'duterte', 'order', 'state', 'hospital', 'accept', 'covid', 'patient', 'wuhan']"
1133,Upon approval from Supreme People s Court  China will kill        patients with novel coronavirus   ,"['upon', 'approval', 'supreme', 'people', 'court', 'china', 'kill', 'patient', 'novel', 'coronavirus']"
1134,The map is  based on traces of Wuhan citizens   between the outbreak of the new coronavirus and the blockade of Wuhan                 ,"['based', 'trace', 'wuhan', 'citizen', 'outbreak', 'coronavirus', 'blockade', 'wuhan']"
1135,A large amount of sulfur dioxide was observed in Wuhan because up to        bodies were incinerated   ,"['large', 'amount', 'sulfur', 'dioxide', 'observed', 'wuhan', 'body', 'incinerated']"
1136,New confirmed cases of COVID    in Kolkatta reported by Press Trust of India   ,"['confirmed', 'case', 'covid', 'kolkatta', 'reported', 'press', 'trust', 'india']"
1137,High levels of sulfur dioxide in Wuhan  may be a sign of mass cremations of victims of the coronavirus    ,"['high', 'level', 'sulfur', 'dioxide', 'wuhan', 'sign', 'mass', 'cremation', 'victim', 'coronavirus']"
1138,A video shows crows are flocking to Wuhan   ,"['show', 'crow', 'flocking', 'wuhan']"
1139,A map shows hundreds of thousands of Wuhan residents  or even   million of them  traveling out of the city before the lockdown   ,"['show', 'hundred', 'thousand', 'wuhan', 'resident', 'even', 'million', 'traveling', 'city', 'lockdown']"
1140,People in Wuhan are locked inside their houses trying to escape a building fire   ,"['people', 'wuhan', 'locked', 'inside', 'house', 'trying', 'escape', 'building', 'fire']"
1141,The WHO declared COVID    is the abbreviation for China Outbreak Virus in December        ,"['declared', 'covid', 'abbreviation', 'china', 'outbreak', 'virus', 'december']"
1142,A residential building was set on fire in Wuhan to control spread of coronavirus   ,"['residential', 'building', 'fire', 'wuhan', 'control', 'spread', 'coronavirus']"
1143,High rise buildings have become human incinerators to combat the spread of the coronavirus   ,"['high', 'rise', 'building', 'become', 'human', 'incinerator', 'combat', 'spread', 'coronavirus']"
1144,Coronavirus was created in a lab in Wuhan   ,"['coronavirus', 'created', 'wuhan']"
1145,Chicken infected from coronavirus found In Bangalore   ,"['chicken', 'infected', 'coronavirus', 'found', 'bangalore']"
1146,Boiled ginger can cure COVID     ,"['boiled', 'ginger', 'cure', 'covid']"
1147,A video claims to show a plane carrying medical supplies to China   ,"['claim', 'show', 'plane', 'carrying', 'medical', 'supply', 'china']"
1148,COVID    means  China Outbreak Virus    ,"['covid', 'mean', 'china', 'outbreak', 'virus']"
1149,A video shows a family killed by the coronavirus amid China s multi city lockdown   ,"['show', 'family', 'killed', 'coronavirus', 'amid', 'china', 'multi', 'city', 'lockdown']"
